,,,,,,,,,,,,,,,,,73.1%,Points,317,,,,,,
"November, 2022",,,,,,,,,,,,,,,,,,,,,,,,,
Week 1,7/11/22,8/11/22,9/11/22,10/11/22,11/11/22,12/11/22,13/11/22,,Week 2,14/11/22,15/11/22,16/11/22,17/11/22,18/11/22,19/11/22,20/11/22,,,,,,,,,
Day,Mon,Tue,Wed,Thu,Fri,Sat,Sun,,Day,Mon,Tue,Wed,Thu,Fri,Sat,Sun,,Weekly Goals,Week 1,Week 2,,,,,
Exercise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Exercise,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,Laundry,TRUE,TRUE,,,,,
Stretch/Yoga (>20min),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Stretch/Yoga (>20min),FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,Cleaning,TRUE,TRUE,,,,,
Social Media (<Limit),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Social Media (<Limit),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Grocery Shop,TRUE,TRUE,,,,,
Eat in,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Eat in,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Meal Prep,TRUE,TRUE,,,,,
Review Budget/Goals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Review Budget/Goals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Website work (~2h),FALSE,FALSE,,,,,
Brush Teeth (>=2),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Brush Teeth (>=2),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Recycling,TRUE,TRUE,,,,,
Water (>2.25),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Water (>2.25),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,Trash,TRUE,TRUE,,,,,
7 hours sleep,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,7 hours sleep,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,Shave/Trim,FALSE,TRUE,,,,,
Clean (~20 min),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Clean (~20 min),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,Water Plants,TRUE,FALSE,,,,,
Read (~20 min),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Read (~20 min),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Weekend Exercise,FALSE,TRUE,,Monthly Goals,,,
Vitamins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Vitamins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Total,70.0%,80.0%,,Wash Sheets,TRUE,,
Total,45.5%,54.5%,54.5%,63.6%,54.5%,45.5%,45.5%,,Total,63.6%,54.5%,72.7%,90.9%,90.91%,100.0%,90.9%,,Progress bar,,,,Savings Deposit,TRUE,,
Daily Progress,,,,,,,,,Daily Progress,,,,,,,,,,,,,Loan Payment,TRUE,,
Weekly Progress,,,,,,,,,Weekly Progress,,,,,,,,,,,,,Wash mats,TRUE,,
,,,,,,,,,,,,,,,,,,,,,,Total,100.0%,,
Week 3,21/11/22,22/11/22,23/11/22,24/11/22,25/11/22,26/11/22,27/11/22,,Week 4,28/11/22,29/11/22,30/11/22,1/12/22,2/12/22,3/12/22,4/12/22,,,,,,Progress bar,,,
Day,Mon,Tue,Wed,Thu,Fri,Sat,Sun,,Day,Mon,Tue,Wed,Thu,Fri,Sat,Sun,,Weekly Goals,Week 3,Week 4,,,,,
Exercise,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,Exercise,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Laundry,TRUE,TRUE,,,,,
Stretch/Yoga (>20min),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,Stretch/Yoga (>20min),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Cleaning,TRUE,TRUE,,,,,
Social Media (<Limit),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Social Media (<Limit),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Grocery Shop,TRUE,TRUE,,,,,
Eat in,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Eat in,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Meal Prep,TRUE,TRUE,,,,,
Review Budget/Goals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Review Budget/Goals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Website work (~2h),FALSE,FALSE,,,,,
Brush Teeth (>=2),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,(2x)Brush+(1x)Floss,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,Recycling,TRUE,TRUE,,,,,
Water (>2.25),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,Water (>2.25),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Trash,TRUE,TRUE,,,,,
7 hours sleep,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,7 hours sleep,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,Shave/Trim,TRUE,TRUE,,,,,
Clean (~20 min),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,Clean (~20 min),TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Water Plants,TRUE,TRUE,,,,,
Read (~20 min),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,Read (~20 min),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Weekend Exercise,TRUE,FALSE,,,,,
Vitamins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Vitamins,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,Total,90.0%,80.0%,,,,,
Total,100.0%,100.0%,54.5%,63.6%,72.7%,90.9%,63.6%,,Total,90.9%,36.4%,36.4%,36.4%,54.5%,54.5%,45.5%,,Progress bar,,,,,,,
Daily Progress,,,,,,,,,Daily Progress,,,,,,,,,,,,,,,,
Weekly Progress,,,,,,,,,Weekly Progress,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
